Total Trades,Winning Trades,Losing Trades,Win Rate,Average PnL,Total Profit,Max Drawdown
8,5,3,0.625,12.812500000000028,5700.05000000001,1125.799999999992
15,12,3,0.8,3.436666666666656,4379.849999999984,714.3999999999915
12,11,1,0.9166666666666666,6.53333333333335,10084.400000000023,314.1500000000069
24,10,14,0.4166666666666667,4.204166666666708,2930.5500000000284,3155.150000000006
3,1,2,0.3333333333333333,8.07000000000005,1339.1500000000128,579.0399999999954
9,4,5,0.4444444444444444,-3.5444444444443537,-923.7499999999845,1659.9999999999955
10,4,4,0.4,0.025000000000000355,382.25000000000796,1317.9499999999878
8,5,3,0.625,-0.46374999999999744,-75.33999999999492,2242.289999999993
2,2,0,1.0,21.27499999999992,3502.2999999999884,0.0
16,8,8,0.5,-0.033124999999996074,2636.610000000037,2789.749999999948
10,7,0,0.7,0.6850000000000008,9043.150000000001,0.0
8,6,2,0.75,12.193749999999994,8044.049999999995,587.0999999999974
17,12,5,0.7058823529411765,9.579411764705837,8526.299999999965,1580.849999999998
14,7,7,0.5,1.764285714285742,3250.8000000000375,1588.3999999999878
20,8,12,0.4,-0.23499999999996818,-1128.499999999971,3119.5500000000084
19,8,11,0.42105263157894735,0.4473684210526376,1166.4000000000096,2952.9500000000053
2,0,2,0.0,-2.019999999999996,-2110.229999999996,1364.9300000000017
6,3,2,0.5,0.3783333333333303,2413.659999999988,187.75999999999613
8,4,4,0.5,10.749999999999943,1467.4499999999907,1061.8000000000056
12,5,7,0.4166666666666667,-2.4166666666667047,-805.4000000000062,1612.599999999998
14,7,7,0.5,44.139285714286025,1441.2000000000116,1299.2000000000044
5,3,2,0.6,3.0399999999999863,997.7999999999893,924.0000000000055
10,6,4,0.6,1.8099999999999994,5203.5499999999965,1499.4999999999886
10,5,5,0.5,-4.054999999999882,-1108.0499999999815,1001.3499999999972
10,9,1,0.9,4.319999999999993,11922.94999999998,180.40000000000373
12,7,5,0.5833333333333334,2.7650000000000055,3019.2000000000016,1923.6999999999907
12,6,5,0.5,0.07916666666666572,852.1499999999976,2153.3999999999887
17,12,5,0.7058823529411765,0.886470588235297,13221.220000000034,1435.499999999991
13,6,7,0.46153846153846156,1.2423076923076644,1006.3999999999855,3293.800000000009
15,6,9,0.4,1.3966666666666545,1070.6499999999887,1479.5499999999947
5,3,2,0.6,2.7,1014.8500000000045,15.0
17,8,6,0.47058823529411764,0.21176470588235344,12776.300000000032,1523.200000000008
1,1,0,1.0,8.299999999999955,1427.5999999999922,0.0
4,3,1,0.75,1.8875000000000028,3130.500000000008,0.0
3,3,0,1.0,20.466666666666697,3398.6500000000037,0.0
13,4,9,0.3076923076923077,-1.7807692307692378,-837.0500000000025,2770.7999999999934
19,8,10,0.42105263157894735,1.0789473684210467,2860.4999999999873,2097.9999999999973
15,7,6,0.4666666666666667,2.4999999999999925,4624.199999999987,999.6999999999953
8,1,4,0.125,5.9187500000000455,390.95000000001346,1191.549999999991
5,1,4,0.2,-5.860000000000037,-1701.200000000018,2246.900000000006
